unique_id,num_pushers,iso2_code,year,quarter,population,gpt_available,year_quarter,quarter_int,num_pushers_pc,post_CI,gpt_available_post1
AD-2020-Q1,0.0,AD,2020,1,79824,1,2020-Q1,1,0.0,0,0
AD-2020-Q2,0.0,AD,2020,2,79824,1,2020-Q2,2,0.0,0,0
AD-2020-Q3,0.0,AD,2020,3,79824,1,2020-Q3,3,0.0,0,0
AD-2020-Q4,0.0,AD,2020,4,79824,1,2020-Q4,4,0.0,0,0
AD-2021-Q1,0.0,AD,2021,1,79824,1,2021-Q1,5,0.0,0,0
AD-2021-Q2,0.0,AD,2021,2,79824,1,2021-Q2,6,0.0,0,0
AD-2021-Q3,0.0,AD,2021,3,79824,1,2021-Q3,7,0.0,0,0
AD-2021-Q4,0.0,AD,2021,4,79824,1,2021-Q4,8,0.0,0,0
AD-2022-Q1,0.0,AD,2022,1,79824,1,2022-Q1,9,0.0,0,0
AD-2022-Q2,0.0,AD,2022,2,79824,1,2022-Q2,10,0.0,0,0
AD-2022-Q3,0.0,AD,2022,3,79824,1,2022-Q3,11,0.0,0,0
AD-2022-Q4,0.0,AD,2022,4,79824,1,2022-Q4,12,0.0,1,1
AD-2023-Q1,103.0,AD,2023,1,79824,1,2023-Q1,13,129.0338745239527,1,1
AD-2023-Q2,110.0,AD,2023,2,79824,1,2023-Q2,14,137.80316696732814,1,1
AD-2023-Q3,0.0,AD,2023,3,79824,1,2023-Q3,15,0.0,1,1
AD-2023-Q4,108.0,AD,2023,4,79824,1,2023-Q4,16,135.29765484064944,1,1
AE-2020-Q1,5117.0,AE,2020,1,9446000,1,2020-Q1,1,54.171077704848614,0,0
AE-2020-Q2,6980.0,AE,2020,2,9446000,1,2020-Q2,2,73.89371162396782,0,0
AE-2020-Q3,6898.0,AE,2020,3,9446000,1,2020-Q3,3,73.02561930976074,0,0
AE-2020-Q4,7130.0,AE,2020,4,9446000,1,2020-Q4,4,75.48168536946855,0,0
AE-2021-Q1,7443.0,AE,2021,1,9446000,1,2021-Q1,5,78.79525725174678,0,0
AE-2021-Q2,8236.0,AE,2021,2,9446000,1,2021-Q2,6,87.19034511962735,0,0
AE-2021-Q3,7998.0,AE,2021,3,9446000,1,2021-Q3,7,84.67076011009951,0,0
AE-2021-Q4,8273.0,AE,2021,4,9446000,1,2021-Q4,8,87.58204531018421,0,0
AE-2022-Q1,9596.0,AE,2022,1,9446000,1,2022-Q1,9,101.58797374550073,0,0
AE-2022-Q2,10692.0,AE,2022,2,9446000,1,2022-Q2,10,113.19076857929282,0,0
AE-2022-Q3,10687.0,AE,2022,3,9446000,1,2022-Q3,11,113.13783612110946,0,0
AE-2022-Q4,12107.0,AE,2022,4,9446000,1,2022-Q4,12,128.17065424518313,1,1
AE-2023-Q1,13239.0,AE,2023,1,9446000,1,2023-Q1,13,140.1545627778954,1,1
AE-2023-Q2,14177.0,AE,2023,2,9446000,1,2023-Q2,14,150.08469193309338,1,1
AE-2023-Q3,13883.0,AE,2023,3,9446000,1,2023-Q3,15,146.97226339191192,1,1
AE-2023-Q4,15197.0,AE,2023,4,9446000,1,2023-Q4,16,160.8829134024984,1,1
AF-2020-Q1,0.0,AF,2020,1,26023100,0,2020-Q1,1,0.0,0,0
AF-2020-Q2,0.0,AF,2020,2,26023100,0,2020-Q2,2,0.0,0,0
AF-2020-Q3,0.0,AF,2020,3,26023100,0,2020-Q3,3,0.0,0,0
AF-2020-Q4,103.0,AF,2020,4,26023100,0,2020-Q4,4,0.3958021911301882,0,0
AF-2021-Q1,281.0,AF,2021,1,26023100,0,2021-Q1,5,1.0798098612386688,0,0
AF-2021-Q2,180.0,AF,2021,2,26023100,0,2021-Q2,6,0.6916931495479017,0,0
AF-2021-Q3,163.0,AF,2021,3,26023100,0,2021-Q3,7,0.626366574312822,0,0
