git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc,developers,developers_pc,pushes_perdev
21377653,US,2020,1,1,0,0,0,0,1,319259000,0.06696022038532978,9763122,0.030580569380972814,2.189632885874006
5567938,CN,2020,1,0,0,0,0,0,1,1367110000,0.004072779805575265,5885036,0.004304727490838338,0.9461179166958367
4422587,IN,2020,1,1,0,0,0,0,1,1263930000,0.0034990758981905644,4194257,0.0033184250710086793,1.0544387241888133
3980488,GB,2020,1,1,0,0,0,0,1,64105654,0.062092619786703995,1635516,0.025512819820853867,2.433781143076558
3622573,DE,2020,1,1,0,0,0,0,1,80783000,0.044843259101543645,1319588,0.016334971466769,2.74523032946647
2938432,FR,2020,1,1,0,0,0,0,1,66078000,0.04446914252852689,1067323,0.01615247132177124,2.7530859917756856
2859170,CA,2020,1,1,0,0,0,0,1,35540419,0.08044840439275631,1134715,0.03192745138992312,2.5197252173453246
2763720,RU,2020,1,0,0,0,0,0,1,146233000,0.018899427625775303,1283298,0.008775707261698795,2.1536073460723855
2530973,BR,2020,1,1,0,0,0,0,1,203586000,0.012431959957953887,1400662,0.006879952452526205,1.8069834121294073
2494749,JP,2020,1,1,0,0,0,0,1,127080000,0.01963132672332389,1128302,0.008878674850487881,2.2110649453780993
2080113,KR,2020,1,1,0,0,0,0,1,50423955,0.04125247612964909,761690,0.015105717114018525,2.730918090036629
1477052,ES,2020,1,1,0,0,0,0,1,46507760,0.03175925909998675,650592,0.013988891316201856,2.2703199547489055
1408309,PL,2020,1,1,0,0,0,0,1,38496000,0.03658325540315877,531465,0.013805720074812967,2.649862173426284
1374704,NL,2020,1,1,0,0,0,0,1,16881000,0.08143498607902376,565841,0.033519400509448495,2.4294881424287036
1235371,UA,2020,1,1,0,0,0,0,1,42973696,0.028747143368817986,568562,0.01323046544565308,2.172799096668437
1119543,AU,2020,1,1,0,0,0,0,1,23696900,0.04724428089750136,678548,0.028634462735632086,1.649909807412298
902300,IT,2020,1,1,0,0,0,0,1,60769102,0.014848006146281378,468484,0.00770924671554304,1.9259996072437906
864589,ID,2020,1,1,0,0,0,0,1,252164800,0.003428666491120093,880038,0.0034899319809902096,0.9824450762353444
